epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.70801434589892,35.168,1.7975094705820083,39.3,0.09999383162408304
2,1.2346749603748322,54.914,1.279763075709343,55.56,0.09997532801828658
3,0.9953463886465345,64.364,1.102723942697048,62.35,0.09994449374809851
4,0.8624189328782412,69.388,1.4054173082113266,59.12,0.09990133642141359
5,0.7682480945879099,72.974,1.3112768888473512,58.62,0.09984586668665642
6,0.6911842853439097,75.8,0.8854936808347702,71.84,0.09977809823015402
7,0.6328291865635891,77.944,0.7451545298099518,74.66,0.09969804777275901
8,0.5875665160770319,79.594,0.8114487592130899,72.66,0.09960573506572391
9,0.5513241257594557,80.874,0.8207766741514206,72.4,0.09950118288582789
10,0.5197495389349607,81.934,0.654585512727499,77.96,0.09938441702975691
11,0.49984282985025524,82.546,0.8457170560956001,74.69,0.09925546630773871
12,0.47918854395345767,83.19,0.5682445906102658,80.98,0.09911436253643445
13,0.4553976525761643,84.312,0.5920313991606235,80.37,0.0989611405310883
14,0.44207776109783015,84.488,0.6706505142152309,77.89,0.09879583809693739
15,0.42610555735169625,85.276,0.6674303561449051,78.85,0.09861849601988384
16,0.4219373260833779,85.418,0.6727681905031204,78.25,0.09842915805643157
17,0.4066965385359161,85.796,0.553700452297926,82.29,0.09822787092288993
18,0.39178914135816145,86.322,0.49202647283673284,83.83,0.09801468428384717
19,0.3807695051084976,86.826,0.6005192615091801,81.14,0.09778965073991652
20,0.37446562740571643,87.102,0.7350007832050324,77.53,0.0975528258147577
21,0.35837726317802254,87.484,0.5347712561488152,82.88,0.09730426794137728
22,0.35359399651690404,87.67,0.5005902379751206,83.71,0.09704403844771128
23,0.34097189585469206,88.202,0.5784161016345024,81.48,0.09677220154149338
24,0.33476535352517145,88.392,0.5734183363616466,82.48,0.09648882429441258
25,0.3353920005718056,88.316,0.4341461792588234,85.56,0.09619397662556435
26,0.3272448904356178,88.698,0.4987943463027477,84.14,0.09588773128419906
27,0.3185845355750347,88.924,0.5219472974538804,83.7,0.09557016383177226
28,0.3133923750446767,88.956,0.47491941377520563,84.47,0.09524135262330098
29,0.3082143977588537,89.21,0.5578398331999779,82.43,0.09490137878803079
30,0.2992602011226878,89.46,0.4928444504737854,84.56,0.0945503262094184
31,0.29596779221782876,89.718,0.5300327315926552,83.52,0.0941882815044347
32,0.2876799026770251,89.812,0.4985417500138283,84.68,0.09381533400219319
33,0.29289824082231036,89.75,0.48555335178971293,84.05,0.09343157572190958
34,0.2788268496491471,90.202,0.4460778012871742,85.62,0.0930371013501972
35,0.27114664040962044,90.376,0.514643133431673,83.76,0.09263200821770463
36,0.2690425268849548,90.492,0.47432945743203164,85.32,0.09221639627510078
37,0.26657574274102036,90.642,0.5457261681556702,84.01,0.09179036806841355
38,0.2659341791758732,90.676,0.5665122359991074,83.27,0.09135402871372812
39,0.2556742363590367,90.996,0.5286826305091381,83.73,0.0909074858712512
40,0.25934454912737925,90.772,0.5146087273955345,84.23,0.09045084971874741
41,0.2563657170655776,91.038,0.6441743239760399,81.51,0.08998423292435458
42,0.2500864164713694,91.172,0.5142840646207333,85.16,0.08950775061878455
43,0.24504826316724018,91.346,0.4242006175220013,86.66,0.08902152036691653
44,0.2403122118237067,91.496,0.43540522269904613,86.17,0.08852566213878951
45,0.24065685218998364,91.6,0.5058598861098289,85.6,0.0880202982800016
46,0.2362456742141928,91.728,0.47044748105108736,85.39,0.08750555348152303
47,0.23193500274602247,91.916,0.45363721176981925,86.22,0.08698155474893052
48,0.23227521891192515,91.938,0.4471347987651825,85.97,0.08644843137107061
49,0.21939171075212713,92.276,0.49588727951049805,85.06,0.08590631488815947
50,0.2282375989063662,91.958,0.5016619957983494,85.05,0.0853553390593274
51,0.2182536562334518,92.222,0.46260568127036095,86.29,0.08479563982961574
52,0.22156920238417022,92.104,0.4067693382501602,87.07,0.08422735529643446
53,0.21948908451868562,92.326,0.39985247794538736,87.1,0.08365062567548869
54,0.21254110423733993,92.54,0.4079112373292446,87.6,0.08306559326618261
55,0.20762705996784628,92.78,0.45082289427518846,86.55,0.0824724024165092
56,0.2088161273194211,92.75,0.43642420545220373,86.35,0.0818711994874345
57,0.21026878188155135,92.582,0.46907427757978437,85.96,0.08126213281678528
58,0.2014504467726362,92.92,0.45894787590950725,86.42,0.08064535268264884
59,0.2060616099256642,92.844,0.4453261733055115,86.1,0.08002101126629421
60,0.20054812041320363,92.938,0.4216344438493252,87.37,0.07938926261462367
61,0.19445857770588934,93.036,0.5786027058959007,83.01,0.07875026260216395
62,0.19393205657905463,93.112,0.48087494596838953,85.81,0.07810416889260656
63,0.19321356873427117,93.166,0.44048895835876467,86.61,0.07745114089990661
64,0.18836807106070372,93.252,0.48203758895397186,85.9,0.07679133974894985
65,0.18954204186340984,93.466,0.6291589565575123,82.55,0.07612492823579746
66,0.18633245277617658,93.486,0.4208920329809189,87.06,0.07545207078751859
67,0.18324000274344365,93.508,0.3996457107365131,88.17,0.0747729334216204
68,0.1805197429292056,93.574,0.4090060077607632,87.65,0.07408768370508578
69,0.17857684510550936,93.756,0.45778863355517385,86.65,0.0733964907130287
70,0.17929686875823808,93.704,0.5588665276765823,84.3,0.07269952498697736
71,0.18110619432159833,93.478,0.511446375399828,84.91,0.07199695849279578
72,0.16881380481075267,94.024,0.45449051409959795,86.58,0.07128896457825366
73,0.17167017103305884,93.946,0.38155227825045585,88.19,0.07057571793025548
74,0.16610669409286002,94.042,0.39414960965514184,88.24,0.06985739453173906
75,0.16604223144145644,94.068,0.4205664560198784,87.66,0.06913417161825453
76,0.16720692573913506,93.96,0.4817663036286831,86.58,0.06840622763423394
77,0.1597948337772063,94.434,0.5214744888246059,85.74,0.0676737421889629
78,0.15968108070748194,94.308,0.3942652951925993,88.55,0.06693689601226462
79,0.15278791936532576,94.542,0.45437575727701185,87.03,0.06619587090990751
80,0.15513158775866032,94.498,0.39877719059586525,88.42,0.06545084971874741
81,0.158636458750282,94.366,0.4275246735662222,87.59,0.06470201626161524
82,0.1591256036594206,94.376,0.4944100171327591,87.07,0.06394955530196152
83,0.14562750166776228,94.816,0.4281084656715393,87.62,0.06319365249826868
84,0.1455943728512039,94.926,0.4927758567035198,86.23,0.06243449435824277
85,0.14646420536600813,94.752,0.4139286816120148,87.94,0.06167226819279532
86,0.1417860339718814,95.012,0.44189250096678734,88.02,0.06090716206982718
87,0.1401547171859717,95.01,0.4623692622408271,87.14,0.06013936476782568
88,0.1420202574939752,95.032,0.3983957801014185,88.03,0.05936906572928629
89,0.13561365240234502,95.228,0.4178976185619831,87.84,0.05859645501397052
90,0.1362155360758913,95.142,0.4378812164999545,87.23,0.05782172325201159
91,0.13180297347051756,95.22,0.40894844233989713,88.19,0.057045061596879186
92,0.129146935836393,95.51,0.4138740699738264,88.63,0.056266661678215264
93,0.13209984654902804,95.266,0.42182003147900105,88.18,0.055486715554552306
94,0.12598928828172537,95.486,0.4403752736747265,87.98,0.05470541566592575
95,0.1250518946243184,95.542,0.48344241455197334,87.32,0.05392295478639229
96,0.12373375786202294,95.562,0.3849255956709385,89.1,0.05313952597646571
97,0.12180996138830574,95.66,0.5481520397588611,85.04,0.05235532253548216
98,0.12482601579050628,95.588,0.5947473898530007,85.77,0.051570537953906447
99,0.11805883409189326,95.834,0.47918708962388334,87.44,0.05078536586559106
100,0.11463607285095721,95.888,0.4468802005052567,88.01,0.050000000000000024
101,0.11318914248246928,96.024,0.4489323928952217,87.84,0.049214634134409
102,0.11766345078619767,95.786,0.3718697980046272,89.44,0.04842946204609361
103,0.10946764137443839,96.094,0.4299389626830816,88.38,0.04764467746451789
104,0.1038479545172684,96.388,0.42979480102658274,88.59,0.046860474023534354
105,0.10891361686648154,96.14,0.44187869629822674,87.92,0.04607704521360778
106,0.10713082738220692,96.172,0.5656589582562447,85.93,0.04529458433407431
107,0.10570419667174621,96.188,0.46206139847636224,88.17,0.04451328444544776
108,0.0990367818585768,96.426,0.4382050782442093,88.51,0.04373333832178482
109,0.09864527954510888,96.574,0.4149850945919752,88.72,0.0429549384031209
110,0.09317647431958087,96.704,0.4170263588428497,88.88,0.042178276747988484
111,0.0933711090106137,96.7,0.42154029533267023,88.97,0.04140354498602954
112,0.09399048455667738,96.74,0.3919736936688423,89.54,0.0406309342707138
113,0.09011342823125269,96.762,0.4048632584512234,89.36,0.03986063523217441
114,0.08546914863495195,96.962,0.41538931652903555,89.43,0.039092837930172916
115,0.08719179967456327,96.986,0.40484953969717025,89.38,0.03832773180720475
116,0.08363482770414984,97.114,0.43460840731859207,89.07,0.037565505641757285
117,0.08397393377155674,97.046,0.4209725931286812,88.89,0.03680634750173138
118,0.07782700166524369,97.238,0.4357291929423809,89.3,0.036050444698038565
119,0.07495114078022996,97.422,0.41532019153237343,89.46,0.03529798373838483
120,0.07577053320651152,97.284,0.46609998531639574,88.8,0.03454915028125267
121,0.07845466348285578,97.216,0.45140269994735716,88.88,0.03380412909009255
122,0.07228733808258359,97.366,0.4124020304530859,89.84,0.03306310398773545
123,0.06704210146919501,97.676,0.4844061814248562,88.88,0.03232625781103717
124,0.07136512271185615,97.42,0.38654790446162224,89.76,0.03159377236576613
125,0.062050148806705764,97.854,0.4136026598513126,89.75,0.030865828381745543
126,0.06330773807415853,97.73,0.411862816195935,89.77,0.03014260546826098
